nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1_CPS,HPV_p16,EGFR,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT04291105,Phase 2 Trial of Voyager V1 in Combination With Cemiplimab in Cancer Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,"Vyriad, Inc.",Vyriad,5,1,1,multi_experimental,3,cemiplimab;vv1,cemiplimab;vv1,,Oncolytic Virus,BRAF;MSI;PD-L1,1,1,1,1,1,1,1,1,1
NCT04305795,An Open-label Study Using ASP-1929 Photoimmunotherapy in Combination With Anti-PD1 Therapy in EGFR Expressing Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,23,"Rakuten Medical, Inc.",Rakuten Medical,7,1,0,multi_experimental,3,asp-1929 pit,,PD-1,Monoclonal Antibody,EGFR;PD-L1,1,0,1,0,1,0,0,0,1
NCT04325828,A Study of Apalutamide Combined With GnRH Agonist in Participants With Androgen Receptor Positive Salivary Gland Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,31,Janssen Pharmaceutical K.K.,Johnson & Johnson,363,1,1,single_arm,1,apalutamide;gnrh agonist,apalutamide;gnrh agonist,AR,Small Molecule,AR;PSA,0,1,0,0,0,0,0,1,0
NCT04340258,Trial Combining Pembrolizumab and Cesium 131 Brachytherapy With Salvage Surgery in HNSCC,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,University of Cincinnati,University of Cincinnati,10,0,0,single_arm,1,device: cesium-131;pembrolizumab,device: cesium-131;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT04370587,A Clinical Study of Intratumoral MVR-T3011 (T3011) Given as a Single Agent and in Combination With Intravenous Pembrolizumab in Participants With Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,30,ImmVira Pharma Co. Ltd,ImmVira Pharma,8,1,0,multi_experimental,5,,t3011;t3011 + pembrolizumab,PD-1,Oncolytic Virus,ALK;EGFR,1,1,1,0,1,0,0,0,1
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,0,0,0,0,1,1,0
NCT04420754,Study of AIC100 CAR T Cells in Relapsed/Refractory Thyroid Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,"AffyImmune Therapeutics, Inc.",AffyImmune Therapeutics,1,1,0,multi_experimental,7,aic100 car t cells,aic100 car t cells,ICAM-1,CAR-T,BRAF;ICAM-1;MET,1,1,0,0,0,0,0,0,0
NCT04429542,Study of Safety and Tolerability of BCA101 Monotherapy and in Combination Therapy in Patients With EGFR-driven Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,292,Bicara Therapeutics,Bicara,3,1,1,multi_experimental,2,bca101,bca101;pembrolizumab,EGFR,Bispecific Antibody,EGFR;PD-L1;biomarker;biomarker analysis,1,1,1,1,1,0,0,0,1
NCT04534205,"A Clinical Trial Investigating the Safety, Tolerability, and Therapeutic Effects of BNT113 in Combination With Pembrolizumab Versus Pembrolizumab Alone for Patients With a Form of Head and Neck Cancer Positive for Human Papilloma Virus 16 and Expressing the Protein PD-L1",PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,358,BioNTech SE,BioNTech,45,1,0,active_comparator,3,pembrolizumab,bnt113;pembrolizumab,HPV16 E6/E7,mRNA,CDX;HPV16;PD-L1,0,1,1,0,0,0,0,0,1
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),PHASE1;PHASE2,Phase 2,RECRUITING,300,"PMV Pharmaceuticals, Inc",PMV Pharmaceuticals,2,1,1,multi_experimental,9,rezatapopt,pembrolizumab;rezatapopt,PD-1,Monoclonal Antibody,KRAS;PD-L1,1,1,1,0,0,0,0,1,1
NCT04590963,Assessment of Efficacy and Safety of Monalizumab Plus Cetuximab Compared to Placebo Plus Cetuximab in Recurrent or Metastatic Head and Neck Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,370,AstraZeneca,AstraZeneca,780,1,1,active_comparator,2,cetuximab,cetuximab;monalizumab,NKG2A,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,0,0,1
NCT04620187,Post-op T-DM1 in HER-2+ Salivary Gland Carcinomas,PHASE2,Phase 2,RECRUITING,37,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,ado-trastuzumab (t) emtansine (t-dm1);standard of care;standard of care radiotherapy,ado-trastuzumab (t) emtansine (t-dm1);standard of care;standard of care radiotherapy,HER2,ADC,HER2;genomic,1,1,0,0,0,0,0,0,0
NCT04643379,Olaparib in Combination With Pembrolizumab and Carboplatin as First-Line Treatment of Recurrent or Metastatic Head and Neck Squamous-Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Washington University School of Medicine,Washington University School of Medicine,178,0,1,single_arm,1,carboplatin;olaparib;pembrolizumab;peripheral blood draw,carboplatin;olaparib;pembrolizumab;peripheral blood draw,PARP,Small Molecule,BRCA1;BRCA2;MET;PD-L1,0,1,1,1,0,0,0,0,1
NCT04651634,MIT-001 for Prevention of CCRT-Induced OM in HNSCC Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,MitoImmune Therapeutics,MitoImmune Therapeutics,2,1,0,placebo_comparator,4,mit-001 plus ccrt,mit-001 plus ccrt,,,,0,1,0,1,0,0,0,0,1
NCT04675294,Evorpacept (ALX148) in Combination With Pembrolizumab in Patients With Advanced Head and Neck Squamous Cell Carcinoma (ASPEN-03),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,189,ALX Oncology Inc.,ALX Oncology,8,1,1,active_comparator,2,pembrolizumab,evorpacept;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1
NCT04675333,Evorpacept (ALX148) in Combination With Pembrolizumab and Chemotherapy in Patients With Advanced Head and Neck Squamous Cell Carcinoma (ASPEN-04),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,172,ALX Oncology Inc.,ALX Oncology,8,1,1,active_comparator,2,cisplatin/carboplatin; 5fu;pembrolizumab,cisplatin/carboplatin; 5fu;evorpacept;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1,0,1
NCT04706962,TH1902 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,Theratechnologies,Theratechnologies,1,1,0,single_arm,1,th1902,th1902,SORT1,Peptide,MET;SORT1,0,1,0,0,0,0,0,1,0
NCT04722523,A Study of Cemiplimab With Chemotherapy and Immunotherapy in People With Head and Neck Cancer,PHASE1,Phase 1,RECRUITING,40,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,cemiplimab;cetuximab,carboplatin;cemiplimab;cetuximab;cisplatin;docetaxel;paclitaxel;post-operative radiation therapy;surgical resection of primary +/- neck dissection,EGFR,Monoclonal Antibody,KRAS,1,1,0,0,0,0,0,0,0
NCT04787042,"Phase 1a and Phase 2 Study for Safety, Preliminary Efficacy, PK and PD of ST-067",PHASE1;PHASE2,Phase 2,RECRUITING,316,"Simcha IL-18, Inc.",Simcha IL-18,1,1,1,multi_experimental,4,st-067,obinutuzumab;pembrolizumab;st-067,PD-1,Recombinant Protein,ALK;HER2;MMR;MSI;MSI-H;PD-L1;TMB,0,1,1,0,1,1,0,1,1
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,1,0,0,0,0,0,1
NCT04843098,Study of TL117 in Patients With Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,108,"Suzhou Junde Biotechnology Co., Ltd",Suzhou Junde Biotechnology,1,1,0,single_arm,1,paclitaxel;tl117,paclitaxel;tl117,PI3K,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT04848116,Neoadjuvant Targeting of Myeloid Cell Populations in Combination With Nivolumab in Head & Neck Ca,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,humax-il8;nivolumab,humax-il8;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,1,0,0,0,0,1
NCT04852328,"Three Schedules of CUE-101 Administered Before Surgery or Definitive Chemoradiation Therapy in HLA-A*0201 Positive Patients With Locally Advanced, HPV16-Positive Oropharyngeal Squamous-Cell Carcinoma",PHASE2,Phase 2,RECRUITING,30,Washington University School of Medicine,Washington University School of Medicine,178,0,0,multi_experimental,3,cue-101,cue-101,HPV16 E7,Bispecific Antibody,HLA-A*0201;genomic,1,1,0,0,0,0,0,0,0
NCT04868877,"Phase 1/2 Study Evaluating MCLA-129, a Human Anti-EGFR, Anti-c-MET Bispecific Antibody, in Advanced NSCLC and Other Solid Tumors, Alone and in Combination",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,194,Merus B.V.,Merus,8,1,0,multi_experimental,7,mcla-129,mcla-129;osimertinib,EGFR,Bispecific Antibody,MET,1,1,0,0,0,0,1,0,0
NCT04895709,A Study of BMS-986340 as Monotherapy and as Combination Therapy in Participants With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,1109,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,9,bms-986340,bms-936558-01;bms-986340;docetaxel;pumitamig,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,0,1,0
NCT04930432,"Study of MCLA-129, a Human Bispecific EGFR and cMet Antibody, in Patients With Advanced NSCLC and Other Solid Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,400,"Betta Pharmaceuticals Co., Ltd.",Betta Pharmaceuticals,66,1,0,multi_experimental,2,mcla-129,mcla-129,EGFR,Bispecific Antibody,EGFR;MET;biomarker,1,1,0,0,1,0,0,1,1
NCT04940052,"Study of Efficacy and Safety of Dabrafenib in Combination With Trametinib in Previously Treated Patients With Metastatic, Radio-active Iodine Refractory BRAF V600E Mutation Positive Differentiated Thyroid Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,153,Novartis Pharmaceuticals,Novartis,836,1,1,placebo_comparator,2,dabrafenib placebo;trametinib placebo,dabrafenib;trametinib,BRAF,Small Molecule,BRAF;RET,0,1,0,0,0,0,0,1,0
NCT04966481,"Palbociclib and Cetuximab Versus Cetuximab Monotherapy for Patients With CDKN2A-altered, HPV-unrelated Head and Neck Squamous Cell Carcinoma Who Experienced Disease Progression on a PD-1/L1 Inhibitor",PHASE3,Phase 3,RECRUITING,81,Washington University School of Medicine,Washington University School of Medicine,178,0,1,active_comparator,2,cetuximab,cetuximab;palbociclib,CDK4/6,Small Molecule,ER;HER2;PR;genomic,0,1,0,1,0,0,0,0,1
NCT04969315,TT-4 and TT-10 as Single Agents and in Combination in Subjects With Advanced Selected Solid Tumors and Pleural Mesothelioma,PHASE1;PHASE2,Phase 2,RECRUITING,35,Portage Biotech,Portage Biotech,1,1,0,multi_experimental,3,,tt-10;tt-4,ADORA2A,Small Molecule,MET,0,1,0,0,0,0,0,0,0
NCT04969835,"A Study Evaluating the Safety, Pharmacokinetics and Early Efficacy of AVA6000 in Solid Tumours",PHASE1,Phase 1,RECRUITING,158,Avacta Life Sciences Ltd,Avacta Life Sciences,2,1,0,multi_experimental,4,ava6000,ava6000,FAP,ADC,FAP;PR,1,1,0,0,0,0,1,1,0
NCT04974398,A Study of Penpulimab (AK105) in the First-line Treatment of Recurrent or Metastatic Nasopharyngeal Carcinoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,296,Akeso,Akeso,103,1,0,placebo_comparator,2,,penpulimab,PD-1,Monoclonal Antibody,PD-L1,1,0,0,0,0,0,0,0,0
NCT04999761,AB122 Platform Study,PHASE1,Phase 1,RECRUITING,917,"Taiho Pharmaceutical Co., Ltd.",Taiho,86,1,0,multi_experimental,18,ab122,ab122;ab154;bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;nab-paclitaxel;ramucirumab;tas-115;tas-116;tas-120;trifluridine/tipiracil,PD-1,Monoclonal Antibody,KRAS;MET;PD-L1,1,1,1,1,1,0,1,1,1
NCT05005403,"Study to Assess Adverse Events and Pharmacokinetics in Adult Participants With Non-Small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma and Other Solid Tumors, Receiving Intravenous Infusion of Azirkitug Alone or in Combination(s) With Budigalimab, Bevacizumab, or Telisotuzumab Adizutecan",PHASE1,Phase 1,RECRUITING,694,AbbVie,AbbVie,274,1,1,multi_experimental,17,azirkitug,azirkitug;bevacizumab;budigalimab;telisotuzumab adizutecan,PD-1,Monoclonal Antibody,BRAF;HER2;MSI;MSI-H;PD-L1,1,1,1,0,1,1,1,0,1
NCT05010629,9-ING-41 Plus Carboplatin in Salivary Gland Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,32,Glenn J. Hanna,Glenn J. Hanna,3,0,0,multi_experimental,2,9-ing-41;carboplatin,9-ing-41;carboplatin;pembrolizumab,GSK3B,Small Molecule,,0,1,0,0,0,0,0,1,0
NCT05025813,Neoadjuvant Pembrolizumab in Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,27,Queensland Health,Queensland Health,1,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,0,0,1
NCT05044897,A Clinical Study to Evaluate the Efficacy and Safety of SI-B001 in the Treatment of Recurrent and Metastatic HNSCC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,11,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,si-b001,si-b001,PD-1,Bispecific Antibody,,1,1,0,0,1,0,0,0,1
NCT05054439,A Clinical Study of SI-B001 in Combination With Paclitaxel/Docetaxel in the Treatment of Recurrent and Metastatic HNSCC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,docetaxel;paclitaxel;si-b001,docetaxel;paclitaxel;si-b001,PD-1,,PD-L1,0,1,1,0,1,0,1,1,1
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,0,1,0
NCT05068102,A Study to Test How BI 765063 and BI 770371 Are Taken up in Tumours of People With Different Types of Advanced Cancer Who Are Also Taking Ezabenlimab,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,14,Boehringer Ingelheim,Boehringer Ingelheim,237,1,1,multi_experimental,2,ezabenlimab,[89zr]zr- bi 765063;[89zr]zr- bi 770371;bi 765063;bi 770371;ezabenlimab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,1,1
NCT05075993,Study of LVGN3616 and LVGN6051±LVGN7409 in Combination With Nab-Paclitaxel or Bevacizumab and Cyclophosphamide in Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,352,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,4,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,,,PD-L1;molecular profiling,0,1,1,0,0,0,0,1,1
NCT05076760,MEM-288 Oncolytic Virus Alone and in Combination With Standard of Care Therapy in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,40,"Memgen, Inc.",Memgen,4,1,0,multi_experimental,3,mem-288 intratumoral injection,docetaxel;mem-288 intratumoral injection;nivolumab,CD40L,Oncolytic Virus,ALK;BRAF;CD8+ T cells;EGFR;IFNγ;KRAS;MET;PD-L1;RET;TCF1+ stem-like CD8+ T cells,1,1,1,0,1,0,1,1,1
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,0,0,1,0
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,1,0,0,0,0,1,1
NCT05119296,Phase II Trial of Pembrolizumab in Metastatic or Locally Advanced Anaplastic/Undifferentiated Thyroid Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,9,Saad A Khan,Saad A Khan,2,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,BRAF;MET;PD-L1,1,1,1,0,0,0,0,1,1
NCT05126719,A Study to Evaluate the Efficacy and Safety of MRG003 in Patients With Recurrent Metastatic Nasopharyngeal Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,238,"Lepu Biopharma Co., Ltd.",Lepu Biopharma,16,1,0,active_comparator,2,capecitabine tablets;docetaxel injection,mrg003,EGFR,Monoclonal Antibody,PD-L1,1,1,1,0,1,0,0,0,1
NCT05144698,RAPA-201 Therapy of Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,37,Rapa Therapeutics LLC,Rapa Therapeutics,3,1,0,single_arm,1,chemotherapy prior to rapa-201 therapy;pembrolizumab (pd-1 blocking antibody);rapa-201 rapamycin resistant t cells,chemotherapy prior to rapa-201 therapy;pembrolizumab (pd-1 blocking antibody);rapa-201 rapamycin resistant t cells,PD-1,Cell Therapy,ALK;BRAF;EGFR;PD-(L)1;PR,1,1,0,0,1,0,0,1,1
NCT05176483,Study of Zanzalintinib in Combination With Immuno-Oncology or Other Agents in Participants With Solid Tumors,PHASE1,Phase 1,RECRUITING,1394,Exelixis,Exelixis,52,1,0,multi_experimental,9,zanzalintinib,ddi probe cocktail;docetaxel;ipilimumab;nivolumab;nivolumab + relatlimab;zanzalintinib,EGFR,Small Molecule,PD-L1;biomarker,0,1,1,0,0,0,1,1,1
NCT05200650,"A Single Arm, Prospective, Open Label, Multi Center, Phase Ib Study to Evaluate the Safety, Tolerability and Initial Efficacy of a Single Intra-tumoral Injection of IntraGel's Polymer-based Cisplatin-loaded Gel (TumoCure) in Subjects With Progressive or Radio-resistant Primary Head and Neck Tumor",PHASE1,Phase 1,RECRUITING,20,IntraGel Therapeutics,IntraGel Therapeutics,1,1,0,single_arm,1,tumocure,tumocure,,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT05208762,A Study of PF-08046054/SGN-PDL1V in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,714,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,2,pf-08046054,pembrolizumab;pf-08046054,PD-L1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,0,1,1
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0
NCT05222932,Oncolytic Adenovirus TILT-123 and Avelumab for Treatment of Solid Tumors Refractory to or Progressing After Anti-PD(L)1,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,15,TILT Biotherapeutics Ltd.,TILT Biotherapeutics,6,1,0,single_arm,1,avelumab;tilt-123,avelumab;tilt-123,TNF-α and IL-2,Oncolytic Virus,,1,1,0,0,0,0,0,1,0
NCT05226871,Study for Participants Continuing From Pfizer-sponsored Palbociclib (a Study Medicine) Studies,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,35,Pfizer,Pfizer,687,1,1,multi_experimental,4,cetuximab;palbociclib,cetuximab;palbociclib,CDK4/6,Small Molecule,ER;HER2;PR,0,1,0,0,0,0,0,0,0
NCT05238883,A Study of HFB200301 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,72,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200301,hfb200301;tislelizumab,TNFR2,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,0,0
NCT05239143,P-MUC1C-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,180,"Poseida Therapeutics, Inc.",Poseida Therapeutics,6,1,0,multi_experimental,8,p-muc1c-allo1 car-t cells;rimiducid,p-muc1c-allo1 car-t cells;rimiducid,MUC1,CAR-T,MUC1,1,1,0,0,0,0,0,0,0
NCT05245682,"Tolinapant and Radiation for Cisplatin-Ineligible, Previously Untreated, Locally Advanced Head and Neck Cancer",EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,10,Emory University,Emory University,116,0,0,single_arm,1,radiation therapy;tolinapant,radiation therapy;tolinapant,cIAP1,Small Molecule,DNMT1,0,1,0,0,0,0,1,0,0
NCT05261750,Autologous Dendritic Cells and Allogenic Dendritic Secretomes for Patients With Advanced Nasopharyngeal Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,15,PT. Prodia Stem Cell Indonesia,PT. Prodia Stem Cell Indonesia,2,1,0,placebo_comparator,3,placebo (aqua pro-injection),auto-dc (autologous dendritic cell as adjuvant therapy);combination of auto dc and allo-dendritic cell-secretome (allogeneic dendritic cell-secretome as adjuvant therapy),,Cell Therapy,,1,1,0,0,0,0,0,0,0
NCT05268614,Risk Adapted De-Intensification of Radio-Chemotherapy for Oropharyngeal Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,250,University of Florida,University of Florida,28,0,0,single_arm,1,cisplatin;radiation therapy,cisplatin;radiation therapy,,Small Molecule,HRD,0,1,0,1,0,0,0,0,1
NCT05275374,XP-102 and XP-102 in Combination With Trametinib in Advanced Solid Tumor Patients With a BRAF V600 Mutation,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,221,"Xynomic Pharmaceuticals, Inc.",Xynomic Pharmaceuticals,6,1,0,multi_experimental,3,xp-102,trametinib;xp-102,BRAF,Small Molecule,BRAF,0,1,0,0,0,0,0,0,0
NCT05280314,Phase II Trial of Neoadjuvant and Adjuvant IO102-IO103 and Pembrolizumab KEYTRUDA® in Patients With Resectable Tumors,PHASE2,Phase 2,RECRUITING,60,IO Biotech,IO Biotech,4,1,1,multi_experimental,3,io102-io103;pembrolizumab keytruda,io102-io103;pembrolizumab keytruda,PD-1,Peptide,BRAF;MET;PD-L1,0,1,1,1,0,0,0,1,1
NCT05283226,"Study to Evaluate the Safety and Efficacy of Oral NRC-2694-A in Combination With Paclitaxel in Patients With Recurrent and/or Metastatic Head and Neck Squamous Cell Carcinoma, Who Progressed on or After Immune Checkpoint Inhibitor Therapy",PHASE2,Phase 2,RECRUITING,21,NATCO Pharma Ltd.,NATCO Pharma,1,1,0,single_arm,1,nrc-2694-a;paclitaxel,nrc-2694-a;paclitaxel,EGFR,Small Molecule,,0,1,0,0,1,0,0,1,1
NCT05286060,"Trial of the Combination of GX-188E Vaccination, GX-I7 and Pembrolizumab in Patients With Advanced, Resectable HPV Type 16 and/or 18 Positive Head and Neck Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,56,Yonsei University,Yonsei University,10,0,0,multi_experimental,4,gx-188e,gx-188e;gx-i7;pembrolizumab,HPV,Vaccine,HPV-16;HPV-18;HPV16;HPV18;PD-L1;biomarker,1,1,1,1,0,0,0,0,1
NCT05286619,A Study of Pembrolizumab (MK-3475) Plus Platinum and Gemcitabine as First Line Treatment of Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma (PIPER),PHASE2,Phase 2,RECRUITING,63,University of Malaya,University of Malaya,4,0,1,single_arm,1,carboplatin;cisplatin;gemcitabine;pembrolizumab,carboplatin;cisplatin;gemcitabine;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,0,1,1
NCT05287113,Study of Retinfanlimab in Combination With INCAGN02385 and INCAGN02390 as First-Line Treatment in Participants With PD-L1-Positive (CPS ≥ 1) Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,176,Incyte Biosciences International Sàrl,Incyte,162,1,0,multi_experimental,3,retifanlimab,incagn02385;incagn02390;retifanlimab,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,1,1,0,0,0,0,1
NCT05294172,KL-A167 Injection Combined With Cisplatin and Gemcitabine vs Placebo Combined With Cisplatin and Gemcitabine in the Treatment of Recurrent or Metastatic Nasopharyngeal Carcinoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,295,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",Kelun,50,1,0,placebo_comparator,2,cisplatin;gemcitabine,cisplatin;gemcitabine;kl-a167,PD-L1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,1,0,0,0,0,0,1
NCT05312710,Safety and Efficacy of APG-157 in Head and Neck Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,"Aveta Biomics, Inc.",Aveta Biomics,3,1,0,single_arm,1,apg-157,apg-157,BCL2,Small Molecule,BCL-2,0,1,0,0,0,0,1,0,0
NCT05329532,"Modi-1 Moditope in Breast, Head and Neck, Ovarian, or Renal Cancer",PHASE1;PHASE2,Phase 2,RECRUITING,168,Scancell Ltd,Scancell,4,1,0,multi_experimental,3,device: micronjet600 microneedle device (nanopass);modi-1 moditope,device: micronjet600 microneedle device (nanopass);modi-1 moditope;pembrolizumab,PD-1,Peptide,PD-L1,0,1,1,0,0,0,1,0,1
