nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,sarcomatoid,first_line,later_line,biomarker_selected
NCT07067905,Clinical Evaluation of [68Ga]Ga-XT771 PET for Diagnosis in Patients With Glioblastoma and Clear Cell Renal Cell Carcinoma,EARLY_PHASE1,Phase 1,RECRUITING,15,Chinese PLA General Hospital,Chinese PLA General Hospital,11,0,0,single_arm,1,68ga-xt771,68ga-xt771,,Radiopharmaceutical,,0,1,0,0,0,0,0
NCT07072728,Psilocybin-Assisted Psychotherapy in Cancer Patients With Adjustment Disorder,PHASE2,Phase 2,RECRUITING,87,Psyence Australia Pty Ltd,Psyence Australia Pty,1,1,0,active_comparator,3,psilocybin therapy,,,,,0,0,0,0,0,0,0
NCT07077083,CAIX PET/CT for Residual or Recurrent Post-ablative ccRCC,PHASE2,Phase 2,NOT_YET_RECRUITING,10,Massachusetts General Hospital,Massachusetts General Hospital,170,0,0,multi_experimental,2,89zr-girentuximab,89zr-girentuximab,CAIX,Radiopharmaceutical,CAIX,0,1,0,0,0,0,0
NCT07087158,A Study of IBR854 Combined With Pazopanib Versus Pazopanib in Advanced Renal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,30,"Imbioray (Hangzhou) Biomedicine Co., Ltd.",Imbioray (Hangzhou) Biomedicine,4,1,0,active_comparator,2,pazopanib,ibr854;pazopanib,5T4,ADC,,1,1,0,0,0,0,0
NCT07097935,Study of HS-10516 Combination Therapy in Patients With Advanced Renal Cell Carcinoma,PHASE1;PHASE2,Phase 2,RECRUITING,104,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",Hansoh,82,1,0,single_arm,1,hs-10516 + lenvatinib,hs-10516 + lenvatinib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0
NCT07115043,A Study to Investigate Safety of AZD6750 in Adult Participants With Select Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,120,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,azd6750,azd6750;rilvegostomig,IL-2,Small Molecule,PD-L1,0,1,1,0,0,0,1
NCT07123090,"A Study of Sasanlimab, Palbociclib and Axitinib in Metastatic Renal Cell Carcinoma",PHASE2,Phase 2,RECRUITING,25,Stephanie Berg,Stephanie Berg,1,0,1,single_arm,1,axitinib;palbociclib;sasanlimab,axitinib;palbociclib;sasanlimab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,1,0,0,1
NCT07160335,"A Phase I Clinical Study to Evaluate the PK Profile, Efficacy, Safety and Immunogenicity of HLX17 vs. Keytruda® in Multiple Resected Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,174,Shanghai Henlius Biotech,Shanghai Henlius,98,1,0,active_comparator,2,hlx17;us-sourced keytruda,hlx17,PD-1,Monoclonal Antibody,ALK;PD-L1,1,1,1,0,0,0,1
NCT07172802,"A Study of GI-108, an Anti-CD73-IgG4 Fc-IL-2v Bispecific Fusion Protein, as Monotherapy in Patients With Advanced or Metastatic Solid Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,102,"GI Innovation, Inc.",GI Innovation,4,1,0,single_arm,1,gi-108,gi-108,CD73,Bispecific Antibody,,1,1,0,0,0,0,0
NCT07187778,Phase II Trial of Single Agent Belzutifan or Pembrolizumab Versus Combination as Neoadjuvant Therapy in Clear Cell Renal Cell Carcinoma (BLAZE),PHASE2,Phase 2,RECRUITING,10,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,3,,belzutifan;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,1,0,0,1
NCT07187869,Modulation of the Bone Immune Microenvironment Following Cabozantinib Treatment of Bone Metastatic Clear Cell Renal Cell Carcinoma: Proof of Concept Study,PHASE1,Phase 1,RECRUITING,16,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,single_arm,1,cabozantinib;nivolumab,cabozantinib;nivolumab,MET,Small Molecule,PD-L1,0,1,0,1,0,0,1
NCT07188896,A Randomized Trial of Fianlimab and Cemiplimab +/- Ipilimumab or Ipilimumab Plus Nivolumab in First-line Advanced Renal Cell Carcinoma (RCC),PHASE2,Phase 2,RECRUITING,120,Brian Rini,Brian Rini,1,0,1,active_comparator,3,ipilimumab;nivolumab,cemiplimab;fianlimab;ipilimumab,LAG-3,Monoclonal Antibody,,1,1,0,0,1,0,0
NCT07195682,A First-in-Human Study of BMS-986506 in Participants With Advanced Clear Cell Renal Cell Carcinoma (ccRCC),PHASE1,Phase 1,RECRUITING,281,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,7,bms-986506,bms-986506;ipilimumab;pumitamig,VEGF/VEGFR,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT07197580,Phase 3 Study to Assess Safety and Efficacy of 177Lu-TLX250 in Advanced Relapsed or Recurrent ccRCC,PHASE3,Phase 3,RECRUITING,40,Telix Pharmaceuticals (Innovations) Pty Limited,Telix Pharmaceuticals (Innovations) Pty,19,1,0,multi_experimental,2,177lu-tlx250,177lu-tlx250,CAIX,Radiopharmaceutical,CAIX;PD-L1,0,1,1,1,0,1,1
NCT07219576,Retifanlimab and Ruxolitinib In Solid Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,40,"University of California, San Diego","University of California, San Diego",28,0,0,single_arm,1,retifanlimab;ruxolitinib,retifanlimab;ruxolitinib,JAK1,Small Molecule,JAK2;MET;PD-L1,0,1,1,0,0,1,1
NCT07223541,Cemiplimab or Cemiplimab and Fianlimab After Stereotactic Body Radiotherapy in Clear Cell Renal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,72,University of Oklahoma,University of Oklahoma,23,0,1,active_comparator,2,cemiplimab,cemiplimab;fianlimab,PD-1,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT07224776,Sparsentan for the Treatment of VEGF Signaling Pathway Inhibitor-Associated Proteinuria,PHASE1,Phase 1,RECRUITING,20,Brigham and Women's Hospital,Brigham and Women's Hospital,15,0,0,active_comparator,2,sparsentan,,VEGF/VEGFR,Small Molecule,,0,0,0,0,0,0,0
NCT07227402,A Clinical Study of Belzutifan and Zanzalintinib in People With Recurrent Kidney Cancer Following Adjuvant Therapy (MK-6482-033),PHASE3,Phase 3,RECRUITING,904,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,cabozantinib,belzutifan;zanzalintinib,EGFR,Small Molecule,PD-L1,0,1,0,1,0,0,1
NCT07227415,Symbiotic-GU-08: A Study to Learn About the Medicine Called PF-08634404 Dosed Alone and in Combination With Other Anticancer Therapies in Adults With Locally Advanced or Metastatic Renal Cell Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,224,Pfizer,Pfizer,687,1,1,multi_experimental,4,pf-08634404,axitinib;casdatifan;ipilimumab;pf-08634404,PD-1,Bispecific Antibody,BRAF;MMR;MMR-PROFICIENT;MSI-H;PD-L1;RAS;ctDNA;dMMR;pMMR,1,1,0,0,0,0,0
NCT07239596,Phase Ib/II Clinical Study of SHR-8068 Combined Anti-tumor Drugs in the Treatment of Advanced Renal Cell Carcinom,PHASE1;PHASE2,Phase 2,RECRUITING,92,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,86,1,0,multi_experimental,2,,shr-8068 ; shr-4610;shr-8068；adebrelimab ；bevacizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT07252661,Study of ACC-1898 in Adult Participants With Advanced Solid Tumors,PHASE1,Phase 1,NOT_YET_RECRUITING,40,"AccSalus Biosciences, Inc.",AccSalus Biosciences,1,1,0,multi_experimental,2,acc-1898,acc-1898,,Cell Therapy,,1,1,0,0,0,0,0
NCT07293351,"A Study to Evaluate the Safety, Tolerability, and Efficacy of Pumitamig Alone or in Combination With Other Agents in Participants With Advanced Renal Cell Carcinoma (RCC) (ROSETTA RCC-208)",PHASE1;PHASE2,Phase 2,RECRUITING,474,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,11,pumitamig,cabozantinib;casdatifan;ipilimumab;pumitamig,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT07300241,Open-Label Phase 1/2 Study of NEO-811 in Subjects With Locally Advanced or Metastatic Non-Resectable Clear Cell Renal Cell Carcinoma,PHASE1,Phase 1,RECRUITING,30,"Neomorph, Inc",Neomorph,1,1,0,single_arm,1,neo-811,neo-811,ARNT,Small Molecule,,0,1,0,0,0,0,0
NCT07341737,SL-28 for Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,60,Second Life Therapeutics,Second Life Therapeutics,1,1,0,multi_experimental,3,sl-28,sl-28,,,biomarker,0,1,0,0,0,1,0
NCT07369505,Sapu003 in Advanced mTOR-sensitive Solid Tumors,PHASE1,Phase 1,RECRUITING,27,SAPU NANO (US) LLC,SAPU NANO (US),1,1,0,multi_experimental,2,sapu003,exemestane;sapu003,HER2,,HER2,0,1,0,0,0,0,0
NCT07397611,Pre-NEOSHIFT-RCC: Neoadjuvant HIF-Inhibitor Immunotherapy in RCC,PHASE2,Phase 2,RECRUITING,32,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,multi_experimental,2,casdatifan,casdatifan;zimberelimab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,1,0,0,1
NCT07401875,"A Phase 1b Study of HC-7366, an Agonist of ISR With Immunotherapy in Kidney Cancer (SHARK)",PHASE1,Phase 1,RECRUITING,35,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,2,hc-7366;nivolumab,hc-7366;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,1,0
NCT07419841,A Phase 1 Study of the Safety and Tolerability of CTX-10726,PHASE1,Phase 1,RECRUITING,70,Compass Therapeutics,Compass Therapeutics,6,1,0,multi_experimental,2,ctx-10726,ctx-10726,,,MET;MMR;MSI;PD-L1;dMMR,0,1,1,0,0,1,1
NCT07489495,A Clinical Study of Belzutifan (MK-6482) and Zanzalintinib in People With Renal Cell Carcinoma (RCC) (LITESPARK-034/LS-034/MK-6482-034),PHASE3,Phase 3,RECRUITING,758,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,belzutifan,belzutifan;zanzalintinib,EGFR,Small Molecule,PD-L1,0,1,0,1,0,0,1
NCT07494435,Phase 2 Study of WGI-0301 Plus Nivolumab in Patients With HCC and RCC,PHASE2,Phase 2,NOT_YET_RECRUITING,230,"Zhejiang Haichang Biotech Co., Ltd.",Zhejiang Haichang Biotech,4,1,0,multi_experimental,6,nivolumab (;wgi-0301,nivolumab (;wgi-0301,AKT1,Small Molecule,biomarker,0,1,0,1,1,1,1
NCT07500805,UCL70805F in Patients With CD70-positive Advanced Renal Clear Cell Carcinoma,PHASE1,Phase 1,NOT_YET_RECRUITING,21,UTC Therapeutics Inc.,UTC Therapeutics,3,1,0,single_arm,1,ucl70805f,ucl70805f,CD70,Monoclonal Antibody,CD70,1,1,0,0,0,0,0
NCT07517198,Dose Determining Study of EXS74539 (REC-4539) in Participants With Select Solid Tumors,PHASE1,Phase 1,RECRUITING,40,"Exscientia AI Ltd., a wholly owned subsidiary of Recursion Pharmaceuticals, Inc.","Exscientia AI Ltd., a wholly owned subsidiary of Recursion Pharmaceuticals",3,1,0,single_arm,1,exs74539,exs74539,LSD1,Small Molecule,,0,1,0,0,0,1,0
NCT07551349,Dual-target CD70/CAIX CAR-NK Cells for Advanced Clear Cell Renal Cell Carcinoma,PHASE1;PHASE2,Phase 2,RECRUITING,36,Beijing Biotech,Beijing Biotech,30,1,0,single_arm,1,eb-701/ca9-nk;fludarabine,eb-701/ca9-nk;fludarabine,CD70,CAR-T,CAIX;CD70;PD-L1;biomarker,1,1,1,0,0,1,1
NCT07566897,A Phase I Study to Evaluate the Safety and Efficacy of L19IL2 in Combination With Ruxolitinib in Patients With Advanced Solid Tumors,PHASE1,Phase 1,NOT_YET_RECRUITING,96,Philogen S.p.A.,Philogen S.p.A.,45,1,0,multi_experimental,3,l19il2,l19il2;ruxolitinib,VEGF/VEGFR,Bispecific Antibody,BRAF;MMR;PD-L1,1,1,0,0,0,1,0
NCT07594106,REGN15505 (PSMAx4-1BB) Alone or in Combination With Cemiplimab or REGN4336 (PSMAxCD3) in Adult Patients With Metastatic Castration-Resistant Prostate Cancer and Clear Cell Renal Cell Carcinoma,PHASE1;PHASE2,Phase 2,RECRUITING,265,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,3,,regn15505;regn15505+cemiplimab;regn15505+regn4336,PSMA,Bispecific Antibody,PD-L1;PSMA,1,1,1,0,0,0,1
NCT07620574,Long-Term Extension Study for Participants Previously Enrolled in an Exelixis-Sponsored Study,PHASE3,Phase 3,ENROLLING_BY_INVITATION,5000,Exelixis,Exelixis,52,1,1,single_arm,1,abiraterone;atezolizumab;cabozantinib;enzalutamide;nivolumab;zanzalintinib,abiraterone;atezolizumab;cabozantinib;enzalutamide;nivolumab;zanzalintinib,MET,Small Molecule,MET;PD-L1,0,1,0,0,0,0,0
NCT07623369,A First-in-Human Study of HH160 in Participants With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,RECRUITING,299,Huahui Health,Huahui Health,3,1,0,multi_experimental,3,hh160,hh160,PD-1,Bispecific Antibody,,1,1,0,0,0,0,0
NCT07636785,A Phase 1 and 2 Study of VMD-102 in Hepatocellular Carcinoma and Other Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,111,"VM Discovery, Inc.",VM Discovery,1,1,0,single_arm,1,vmd-102,vmd-102,,,biomarker,0,1,0,1,0,1,1
NCT07647744,To Evaluate the Safety and Tolerability of Anti-Human CD70 T-Cell Injection in Subjects With Advanced/Metastatic Renal Cancer,PHASE1,Phase 1,RECRUITING,18,"Hrain Biotechnology Co., Ltd.",Hrain Biotechnology,13,1,0,single_arm,1,anti-human cd70 t-cell injection,anti-human cd70 t-cell injection,,Cell Therapy,PD-L1,1,1,1,0,0,0,1
NCT07667335,"Enfortumab Vedotin, Pembrolizumab and Quemliclustat for the Treatment of Unresectable Locally Advanced and Metastatic Urothelial Cancer",PHASE1;PHASE2,Phase 2,RECRUITING,27,Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,52,0,0,single_arm,1,biopsy procedure;biospecimen collection;computed tomography;enfortumab vedotin;magnetic resonance imaging;pembrolizumab;quemliclustat,biopsy procedure;biospecimen collection;computed tomography;enfortumab vedotin;magnetic resonance imaging;pembrolizumab;quemliclustat,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,1,0,1
NCT07671417,Imaging Study in Metastatic Clear Cell RCC.,EARLY_PHASE1,Phase 1,NOT_YET_RECRUITING,10,"RayzeBio, Inc.",RayzeBio,7,1,0,single_arm,1,diagnostic test: ryz512,diagnostic test: ryz512,,,,0,1,0,0,0,0,0
NCT07688187,A Study of Theranostic Pair PD-32766D/T in Participants With Carbonic Anhydrase IX Positive Clear Cell Renal Cell Carcinoma,PHASE1,Phase 1,RECRUITING,60,PeptiDream Inc.,PeptiDream,1,1,0,multi_experimental,2,pd-32766d (a copper-64 [64cu] labeled peptide);pd-32766t (an actinium-225 [225ac] labeled peptide),pd-32766d (a copper-64 [64cu] labeled peptide);pd-32766t (an actinium-225 [225ac] labeled peptide),,Peptide,,0,1,0,0,0,0,0
NCT07715734,Cemiplimab for Kidney Transplant Recipients With Advanced Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,NOT_YET_RECRUITING,22,Washington University School of Medicine,Washington University School of Medicine,178,0,1,single_arm,1,cemiplimab;cetuximab (egfr inhibitor);sirolimus,cemiplimab;cetuximab (egfr inhibitor);sirolimus,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,1
NCT07716917,Genitourinary Tumors With Sacituzumab Tirumotecan,PHASE2,Phase 2,NOT_YET_RECRUITING,100,Alianza multidisciplinar para la investigación de los tumores genitourinarios -GUARD,Alianza multidisciplinar para la investigación de los tumores genitourinarios -GUARD,3,0,1,multi_experimental,2,sacituzumab tirumotecan (skb264),sacituzumab tirumotecan (skb264),,Monoclonal Antibody,PD-L1,1,1,1,1,1,0,1
NCT07748988,Pilot Study of Casdatifan-Treated Refractory Renal Cell Carcinoma,EARLY_PHASE1,Phase 1,NOT_YET_RECRUITING,12,Vanderbilt-Ingram Cancer Center,Vanderbilt-Ingram Cancer Center,25,0,0,single_arm,1,casdatifan,casdatifan,VEGF/VEGFR,,,0,1,0,0,0,1,0
NCT07768306,"Evaluation of Safety, Pharmacokinetics, Distribution，Radiation Safety and Sensitivity/Specificity of PET/CT Imaging With 68Ga-NYM096 in Participants With IRM",PHASE1,Phase 1,NOT_YET_RECRUITING,20,"Norroy Bioscience Co., LTD",Norroy Bioscience,7,1,0,single_arm,1,68ga-nym096 injection,68ga-nym096 injection,,,,0,1,0,0,0,0,0
NCT07770802,Clinical Study of HS-IT101 Injection in the Treatment of Advanced Renal Cancer,PHASE1,Phase 1,NOT_YET_RECRUITING,15,"Qingdao Sino-Cell Biomedicine Co., Ltd.",Qingdao Sino-Cell Biomedicine,6,1,0,single_arm,1,cyclophosphamid;fludarabine;hs-it101 monotherapy;interleukin 2 subcutaneous injection,cyclophosphamid;fludarabine;hs-it101 monotherapy;interleukin 2 subcutaneous injection,,Cell Therapy,,1,1,0,0,0,1,0
NCT07781852,Evaluation of the Distribution of 64Cu/68Ga Labeled CM500 in Healthy Volunteers and Patients With Cancer,EARLY_PHASE1,Phase 1,NOT_YET_RECRUITING,40,Lumina Pharmaceuticals Inc,Lumina Pharmaceuticals,1,1,0,active_comparator,4,[64cu]cm500;[68ga]cm500;blood collection;device: pet/ct;device: pet/mr,[64cu]cm500;[68ga]cm500;blood collection;device: pet/ct;device: pet/mr,,Peptide,,0,1,0,0,0,0,0
